-4.000,-0.6536436
-3.900,-0.7259323
-3.800,-0.7909677
-3.700,-0.8481000
-3.600,-0.8967584
-3.500,-0.9364567
-3.400,-0.9667982
-3.300,-0.9874798
-3.200,-0.9982948
-3.100,-0.9991352
-3.000,-0.9899925
-2.900,-0.9709582
-2.800,-0.9422223
-2.700,-0.9040721
-2.600,-0.8568888
-2.500,-0.8011436
-2.400,-0.7373937
-2.300,-0.6662760
-2.200,-0.5885011
-2.100,-0.5048461
-2.000,-0.4161468
-1.900,-0.3232896
-1.800,-0.2272021
-1.700,-0.1288445
-1.600,-0.0291995
-1.500,0.0707372
-1.400,0.1699671
-1.300,0.2674988
-1.200,0.3623578
-1.100,0.4535961
-1.000,0.5403023
-0.900,0.6216100
-0.800,0.6967067
-0.700,0.7648422
-0.600,0.8253356
-0.500,0.8775826
-0.400,0.9210610
-0.300,0.9553365
-0.200,0.9800666
-0.100,0.9950042
0.000,1.0000000
0.100,0.9950042
0.200,0.9800666
0.300,0.9553365
0.400,0.9210610
0.500,0.8775826
0.600,0.8253356
0.700,0.7648422
0.800,0.6967067
0.900,0.6216100
1.000,0.5403023
1.100,0.4535961
1.200,0.3623578
1.300,0.2674988
1.400,0.1699671
1.500,0.0707372
1.600,-0.0291995
1.700,-0.1288445
1.800,-0.2272021
1.900,-0.3232896
2.000,-0.4161468
2.100,-0.5048461
2.200,-0.5885011
2.300,-0.6662760
2.400,-0.7373937
2.500,-0.8011436
2.600,-0.8568888
2.700,-0.9040721
2.800,-0.9422223
2.900,-0.9709582
3.000,-0.9899925
3.100,-0.9991352
3.200,-0.9982948
3.300,-0.9874798
3.400,-0.9667982
3.500,-0.9364567
3.600,-0.8967584
3.700,-0.8481000
3.800,-0.7909677
3.900,-0.7259323
